Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
12922, -0.004, 0.092, -0.940, 0.516, 0.548, -1.300
12957, -0.628, 0.308, -0.860, 0.176, 0.656, -0.812
12993, -0.020, 0.136, -1.004, -0.848, 0.388, -1.120
13028, -0.468, 0.108, -0.980, -0.560, 0.064, -0.964
13064, -0.248, 0.380, -0.968, -0.152, 0.568, -1.064
13098, 0.004, 0.416, -1.000, -0.292, 0.560, -1.048
13134, -0.224, 0.192, -0.936, -0.392, 0.180, -0.976
13169, -0.584, 0.048, -0.976, -0.592, -0.060, -0.932
13204, -0.404, 0.452, -1.004, -0.728, 0.328, -1.016
13240, 0.288, 0.336, -0.956, -0.048, 0.892, -1.068
13275, 0.052, 0.372, -0.932, -0.348, 0.408, -0.908
13310, -0.396, 0.132, -0.916, 0.328, 0.384, -0.936
13345, -0.132, 0.092, -0.772, -0.324, 0.052, -0.700
13380, -0.008, 0.268, -0.912, -0.176, 0.392, -0.936
13416, -0.520, 0.236, -0.988, -0.844, 0.304, -1.060
13451, -0.836, 0.120, -0.944, -0.392, -0.236, -0.916
13487, -0.704, 0.412, -1.112, -0.788, 0.136, -1.096
13521, 0.432, 0.216, -1.012, 0.244, 1.024, -1.024
13556, 0.096, 0.328, -0.972, -0.176, 0.548, -1.012
13592, -0.792, 0.088, -0.880, -0.372, -0.220, -0.840
13627, -0.096, -0.052, -0.932, -0.084, 0.460, -1.020
13663, 0.384, 0.508, -1.052, -0.148, 0.776, -1.064
13697, -0.232, 0.236, -0.988, -0.176, 0.540, -1.052
13733, -0.584, 0.204, -1.064, -0.512, 0.064, -1.072
13768, -0.932, 0.076, -1.012, -0.732, -0.048, -1.044
13803, 0.216, 0.064, -0.920, 0.244, 0.424, -0.912
13839, 0.540, 0.384, -0.936, -0.088, 0.884, -1.012
13874, -0.628, -0.020, -0.932, -0.372, -0.160, -0.888
13909, -1.212, 0.096, -0.988, -0.728, -0.196, -1.028
13944, 0.164, 0.140, -1.064, -0.180, 0.732, -1.076
13979, 0.784, 0.576, -0.976, 0.156, 1.128, -1.092
14015, -0.568, -0.028, -0.860, -0.388, -0.216, -0.852
14050, -0.836, -0.008, -0.892, -0.492, -0.112, -0.908
14086, -0.124, 0.372, -0.976, -0.440, 0.652, -1.096
14120, 0.308, 0.376, -0.992, -0.156, 0.636, -1.008
14156, -0.360, 0.132, -0.892, -0.252, 0.344, -0.976
14191, -0.524, 0.004, -0.884, -0.208, 0.000, -0.920
14226, -0.400, 0.536, -0.964, -0.708, 0.384, -0.936
14262, -0.328, 0.472, -1.020, -0.348, 0.536, -1.112
14296, -0.396, 0.424, -1.156, -0.204, 0.312, -1.052
14332, -0.344, 0.044, -0.944, -0.152, 0.400, -1.028
14367, -0.040, -0.112, -0.860, -0.244, 0.076, -0.832
