Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
10983, 0.168, 0.288, -0.928, -0.924, 0.412, -0.588
11018, 0.172, 0.280, -0.924, -0.928, 0.408, -0.584
11053, 0.172, 0.284, -0.928, -0.920, 0.412, -0.588
11088, 0.168, 0.284, -0.924, -0.924, 0.408, -0.588
11123, 0.172, 0.284, -0.924, -0.924, 0.412, -0.580
11159, 0.172, 0.284, -0.924, -0.920, 0.412, -0.592
11194, 0.172, 0.284, -0.928, -0.924, 0.408, -0.588
11230, 0.172, 0.280, -0.924, -0.920, 0.408, -0.588
11264, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
11299, 0.176, 0.276, -0.924, -0.924, 0.408, -0.584
11335, 0.172, 0.284, -0.924, -0.920, 0.408, -0.584
11370, 0.172, 0.280, -0.928, -0.924, 0.408, -0.584
11406, 0.172, 0.276, -0.928, -0.924, 0.408, -0.588
11441, 0.172, 0.280, -0.928, -0.924, 0.416, -0.588
11475, 0.168, 0.280, -0.924, -0.924, 0.412, -0.588
11511, 0.176, 0.280, -0.924, -0.924, 0.408, -0.592
11546, 0.168, 0.280, -0.924, -0.920, 0.408, -0.588
11582, 0.168, 0.284, -0.928, -0.920, 0.408, -0.588
11617, 0.172, 0.284, -0.928, -0.924, 0.408, -0.588
11651, 0.176, 0.284, -0.928, -0.924, 0.408, -0.584
11687, 0.176, 0.280, -0.924, -0.928, 0.408, -0.584
11722, 0.172, 0.280, -0.928, -0.924, 0.408, -0.584
11758, 0.172, 0.276, -0.928, -0.924, 0.408, -0.584
11793, 0.168, 0.280, -0.928, -0.924, 0.412, -0.580
11828, 0.176, 0.276, -0.924, -0.924, 0.408, -0.584
11863, 0.172, 0.280, -0.928, -0.924, 0.408, -0.584
11898, 0.168, 0.280, -0.928, -0.924, 0.408, -0.584
11934, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
11969, 0.172, 0.276, -0.924, -0.920, 0.404, -0.584
12004, 0.176, 0.280, -0.928, -0.924, 0.412, -0.588
12040, 0.176, 0.280, -0.928, -0.928, 0.412, -0.584
12074, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
12110, 0.176, 0.276, -0.920, -0.924, 0.416, -0.592
12145, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
12181, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
12216, 0.176, 0.284, -0.928, -0.924, 0.408, -0.588
12250, 0.176, 0.280, -0.924, -0.924, 0.408, -0.584
12286, 0.176, 0.280, -0.928, -0.920, 0.408, -0.588
12321, 0.172, 0.280, -0.928, -0.920, 0.408, -0.588
12357, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
12392, 0.176, 0.280, -0.928, -0.924, 0.412, -0.592
12427, 0.172, 0.280, -0.924, -0.924, 0.408, -0.588
12462, 0.172, 0.280, -0.924, -0.916, 0.412, -0.584
12497, 0.172, 0.280, -0.932, -0.924, 0.412, -0.588
12533, 0.176, 0.280, -0.924, -0.924, 0.408, -0.592
12568, 0.172, 0.276, -0.924, -0.928, 0.408, -0.584
12603, 0.172, 0.284, -0.928, -0.924, 0.412, -0.588
12639, 0.176, 0.276, -0.928, -0.920, 0.408, -0.592
12673, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
12709, 0.172, 0.284, -0.928, -0.924, 0.408, -0.588
12744, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
12779, 0.172, 0.276, -0.928, -0.924, 0.408, -0.584
12815, 0.172, 0.276, -0.928, -0.924, 0.404, -0.588
12850, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
12885, 0.176, 0.280, -0.928, -0.924, 0.408, -0.588
12920, 0.172, 0.280, -0.928, -0.920, 0.408, -0.584
12955, 0.172, 0.276, -0.928, -0.924, 0.408, -0.584
12991, 0.176, 0.280, -0.932, -0.928, 0.412, -0.588
13026, 0.172, 0.276, -0.928, -0.924, 0.408, -0.592
13062, 0.168, 0.280, -0.928, -0.920, 0.408, -0.588
13096, 0.176, 0.276, -0.928, -0.924, 0.408, -0.584
13131, 0.172, 0.284, -0.928, -0.920, 0.408, -0.588
13167, 0.168, 0.280, -0.928, -0.920, 0.408, -0.588
13202, 0.172, 0.284, -0.928, -0.924, 0.404, -0.588
13238, 0.172, 0.280, -0.924, -0.924, 0.408, -0.588
13272, 0.176, 0.280, -0.924, -0.928, 0.408, -0.584
13307, 0.168, 0.280, -0.924, -0.920, 0.408, -0.588
13343, 0.176, 0.280, -0.928, -0.924, 0.408, -0.592
13378, 0.172, 0.280, -0.928, -0.924, 0.408, -0.592
13414, 0.176, 0.284, -0.928, -0.924, 0.408, -0.588
13449, 0.172, 0.280, -0.928, -0.920, 0.412, -0.588
13483, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
13519, 0.172, 0.276, -0.932, -0.924, 0.408, -0.588
13554, 0.176, 0.276, -0.932, -0.924, 0.408, -0.588
13590, 0.176, 0.280, -0.928, -0.924, 0.412, -0.588
13625, 0.176, 0.280, -0.928, -0.924, 0.408, -0.588
13660, 0.176, 0.280, -0.924, -0.924, 0.404, -0.592
13695, 0.172, 0.280, -0.924, -0.924, 0.408, -0.588
13730, 0.172, 0.280, -0.924, -0.924, 0.408, -0.592
13766, 0.172, 0.280, -0.932, -0.928, 0.412, -0.584
13801, 0.172, 0.280, -0.924, -0.924, 0.408, -0.588
13837, 0.172, 0.284, -0.928, -0.924, 0.408, -0.584
13871, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
